ID,Year,Date,Name,Address,City,State,Zipcode,Country,Narrative
10001,2019,4/11/2019,Solomon R. Guggenheim Museum,"1071 5th Ave, New York, NY 10128, USA",NEW YORK,NY,10128,USA,
10002,2019,4/12/2019,DEVOCION COFFEE,"69 Grand St, Brooklyn, NY 11249, USA",NEW YORK,NY,11249,USA,
10003,2019,4/19/2019,Gucci Wooster,"63 Wooster Street, New York, NY 10012, USA",NEW YORK,NY ,10012,USA,
10004,2017,11/24/2017,Gocheok Sky Dome,"430, Gyeongin-ro, Gocheok-dong, Guro-gu, Seoul, South Korea",Seoul,,,South Korea,
10005,2017,12/22/2017,Fukuoka Convention Center,"2-1 Sekijomachi, Hakata Ward, Fukuoka, 812-0032, Japan",Fukuoka,,812-0032,Japan,
10006,2018,1/27/2018,Saitama Super Arena,"8 Shintoshin, Chuo Ward, Saitama, 330-9111, Japan",Saitama,,330-9111,Japan,
10007,2018,2/10/2018,Taipei Arena,"No. 2, Section 4, Nanjing East Road, Songshan District, Taipei City, Taiwan 105",Taipei City,,105,Taiwan,
10008,2018,2/23/2018,Kyocera Dome Osaka,550-0023 3-2-1 Chiyozaki Nishi-ku Osaka,Osaka,,550-0023,Japan,
10009,2018,3/3/2018,Singapore Indoor Stadium,"2 Stadium Walk, Singapore 397691",Singapore,,397691,Singapore,
10010,2018,3/16/2018,"Impact, Muang Thong Thani","Popular 3 Rd, Ban Mai, Nonthaburi 11120, Thailand",Ban Mai,Nonthaburi,11120,Thailand,
10011,2018,4/28/2018,Mall of Asia Arena,"J.W. Diokno Blvd, Pasay, 1300 Metro Manila, Philippines",Manila,,,"	Philippines",
10012,2018,6/2/2018,AsiaWorld-Expo,"1 Sky City Rd E, Chek Lap Kok, Hong Kong",Hong Kong,,,Hong Kong,
10013,2018,6/7/2018,Axiata Arena,"L2-E-10, Enterprise 4, Technology Park Malaysia Lebuhraya Puchong Sg. Besi, Bukit Jalil, 57000 Kuala Lumpur, Malaysia",Kuala Lumpur,,,Malaysia,
10014,2018,7/13/2018,Gocheok Sky Dome,"430, Gyeongin-ro, Gocheok-dong, Guro-gu, Seoul, South Korea",Seoul,,,South Korea,
10015,2018,8/10/2018,Cotai Arena,"Estrada da Baia de Nossa Senhora da Esperanca, Macao",Macau,,,Macau,
10016,2019,4/30/2019,Heathrow Airport,"Longford TW6, UK",London,,,United Kingdom,
10017,2019,5/28/2019,Capitoline Museums,"Piazza del Campidoglio, 1, 00186 Roma RM, Italy",Rome,,,Italy,
10018,2019,1/16/2019,Los Angeles International Airport,"1 World Way, Los Angeles, CA 90045",Los Angeles,CA,90045,USA,
